app,view,file_view,screen,state,theme,resolution,capture,file
suite,home,home,home,score,light,960x600,window,qa/_mockup_targets/suite-home-light-960x600.png
suite,home-no-score,home-no-score,home,noscore,light,960x600,window,qa/_mockup_targets/suite-home-no-score-light-960x600.png
suite,onboarding,onboarding,onboarding,normal,light,520x600,window,qa/_mockup_targets/suite-onboarding-light-520x600.png
suite,onboarding-error,onboarding-error,onboarding,error,light,520x600,window,qa/_mockup_targets/suite-onboarding-error-light-520x600.png
suite,recuperar-acceso,recuperar-acceso,recuperar,,light,520x600,window,qa/_mockup_targets/suite-recuperar-acceso-light-520x600.png
suite,animo,animo,animo,,light,960x600,window,qa/_mockup_targets/suite-animo-light-960x600.png
suite,respiracion,respiracion,respiracion,idle,light,960x600,window,qa/_mockup_targets/suite-respiracion-light-960x600.png
suite,respiracion-preset-3min,respiracion-preset-3min,respiracion,idle,light,960x600,window,qa/_mockup_targets/suite-respiracion-preset-3min-light-960x600.png
suite,respiracion-preset-10min,respiracion-preset-10min,respiracion,idle,light,960x600,window,qa/_mockup_targets/suite-respiracion-preset-10min-light-960x600.png
suite,respiracion-running,respiracion-running,respiracion,running,light,960x600,window,qa/_mockup_targets/suite-respiracion-running-light-960x600.png
suite,respiracion-paused,respiracion-paused,respiracion,paused,light,960x600,window,qa/_mockup_targets/suite-respiracion-paused-light-960x600.png
suite,registro,registro,registro,s0,light,960x600,window,qa/_mockup_targets/suite-registro-light-960x600.png
suite,registro-step1-emotion,registro-step1-emotion,registro,s1,light,960x600,window,qa/_mockup_targets/suite-registro-step1-emotion-light-960x600.png
suite,registro-step1-emotion-otro,registro-step1-emotion-otro,registro,s1otro,light,960x600,window,qa/_mockup_targets/suite-registro-step1-emotion-otro-light-960x600.png
suite,registro-step2-distortions,registro-step2-distortions,registro,s2,light,960x600,window,qa/_mockup_targets/suite-registro-step2-distortions-light-960x600.png
suite,registro-step3-filled,registro-step3-filled,registro,s3,light,960x600,window,qa/_mockup_targets/suite-registro-step3-filled-light-960x600.png
suite,registro-success,registro-success,registro,ok,light,960x600,window,qa/_mockup_targets/suite-registro-success-light-960x600.png
suite,rutina,rutina,rutina,default,light,960x600,window,qa/_mockup_targets/suite-rutina-light-960x600.png
suite,rutina-add-task,rutina-add-task,rutina,add,light,960x600,window,qa/_mockup_targets/suite-rutina-add-task-light-960x600.png
suite,rutina-all-completed,rutina-all-completed,rutina,done,light,960x600,window,qa/_mockup_targets/suite-rutina-all-completed-light-960x600.png
suite,rutina-empty,rutina-empty,rutina,empty,light,960x600,window,qa/_mockup_targets/suite-rutina-empty-light-960x600.png
suite,actividades,actividades,actividades,default,light,960x600,window,qa/_mockup_targets/suite-actividades-light-960x600.png
suite,actividades-filtered,actividades-filtered,actividades,filtered,light,960x600,window,qa/_mockup_targets/suite-actividades-filtered-light-960x600.png
suite,actividades-marked-hice,actividades-marked-hice,actividades,marked,light,960x600,window,qa/_mockup_targets/suite-actividades-marked-hice-light-960x600.png
suite,actividades-empty,actividades-empty,actividades,empty,light,960x600,window,qa/_mockup_targets/suite-actividades-empty-light-960x600.png
suite,avisos,avisos,avisos,all,light,960x600,window,qa/_mockup_targets/suite-avisos-light-960x600.png
suite,avisos-filter-activos,avisos-filter-activos,avisos,active,light,960x600,window,qa/_mockup_targets/suite-avisos-filter-activos-light-960x600.png
suite,avisos-search,avisos-search,avisos,search,light,960x600,window,qa/_mockup_targets/suite-avisos-search-light-960x600.png
suite,avisos-empty,avisos-empty,avisos,empty,light,960x600,window,qa/_mockup_targets/suite-avisos-empty-light-960x600.png
suite,avisos-completed,avisos-completed,avisos,all,light,960x600,window,qa/_mockup_targets/suite-avisos-completed-light-960x600.png
suite,timer,timer,timer,idle,light,960x600,window,qa/_mockup_targets/suite-timer-light-960x600.png
suite,timer-running,timer-running,timer,running,light,960x600,window,qa/_mockup_targets/suite-timer-running-light-960x600.png
suite,timer-paused,timer-paused,timer,paused,light,960x600,window,qa/_mockup_targets/suite-timer-paused-light-960x600.png
suite,timer-empty,timer-empty,timer,empty,light,960x600,window,qa/_mockup_targets/suite-timer-empty-light-960x600.png
suite,timer-preset-5min,timer-preset-5min,timer,idle,light,960x600,window,qa/_mockup_targets/suite-timer-preset-5min-light-960x600.png
suite,timer-preset-45min,timer-preset-45min,timer,idle,light,960x600,window,qa/_mockup_targets/suite-timer-preset-45min-light-960x600.png
suite,dbt-now,dbt-now,dbtnow,,light,960x600,window,qa/_mockup_targets/suite-dbt-now-light-960x600.png
suite,dbt-library,dbt-library,dbtlib,,light,960x600,window,qa/_mockup_targets/suite-dbt-library-light-960x600.png
suite,dbt-practice-stop,dbt-practice-stop,dbtlib,,light,960x600,viewport,qa/_mockup_targets/suite-dbt-practice-stop-light-960x600.png
suite,dbt-practice-closure,dbt-practice-closure,dbtlib,,light,960x600,viewport,qa/_mockup_targets/suite-dbt-practice-closure-light-960x600.png
hub,pacientes,pacientes,pacientes,list,light,960x600,window,qa/_mockup_targets/hub-pacientes-light-960x600.png
hub,pacientes-empty,pacientes-empty,pacientes,empty,light,960x600,window,qa/_mockup_targets/hub-pacientes-empty-light-960x600.png
hub,detalle,detalle,detalle,,light,960x600,window,qa/_mockup_targets/hub-detalle-light-960x600.png
hub,detalle-plan-timer,detalle-plan-timer,detalle,,light,960x600,window,qa/_mockup_targets/hub-detalle-plan-timer-light-960x600.png
hub,detalle-plan-rutina,detalle-plan-rutina,detalle,,light,960x600,window,qa/_mockup_targets/hub-detalle-plan-rutina-light-960x600.png
hub,detalle-plan-activacion,detalle-plan-activacion,detalle,,light,960x600,window,qa/_mockup_targets/hub-detalle-plan-activacion-light-960x600.png
hub,detalle-resumen-ia,detalle-resumen-ia-0,detalle,,light,480x325,modal,qa/_mockup_targets/hub-detalle-resumen-ia-0-light-480x325.png
hub,textos-globales,textos-globales,textos,,light,960x600,window,qa/_mockup_targets/hub-textos-globales-light-960x600.png
suite,home,home,home,score,dark,960x600,window,qa/_mockup_targets/suite-home-dark-960x600.png
suite,home-no-score,home-no-score,home,noscore,dark,960x600,window,qa/_mockup_targets/suite-home-no-score-dark-960x600.png
suite,onboarding,onboarding,onboarding,normal,dark,520x600,window,qa/_mockup_targets/suite-onboarding-dark-520x600.png
suite,onboarding-error,onboarding-error,onboarding,error,dark,520x600,window,qa/_mockup_targets/suite-onboarding-error-dark-520x600.png
suite,recuperar-acceso,recuperar-acceso,recuperar,,dark,520x600,window,qa/_mockup_targets/suite-recuperar-acceso-dark-520x600.png
suite,animo,animo,animo,,dark,960x600,window,qa/_mockup_targets/suite-animo-dark-960x600.png
suite,respiracion,respiracion,respiracion,idle,dark,960x600,window,qa/_mockup_targets/suite-respiracion-dark-960x600.png
suite,respiracion-preset-3min,respiracion-preset-3min,respiracion,idle,dark,960x600,window,qa/_mockup_targets/suite-respiracion-preset-3min-dark-960x600.png
suite,respiracion-preset-10min,respiracion-preset-10min,respiracion,idle,dark,960x600,window,qa/_mockup_targets/suite-respiracion-preset-10min-dark-960x600.png
suite,respiracion-running,respiracion-running,respiracion,running,dark,960x600,window,qa/_mockup_targets/suite-respiracion-running-dark-960x600.png
suite,respiracion-paused,respiracion-paused,respiracion,paused,dark,960x600,window,qa/_mockup_targets/suite-respiracion-paused-dark-960x600.png
suite,registro,registro,registro,s0,dark,960x600,window,qa/_mockup_targets/suite-registro-dark-960x600.png
suite,registro-step1-emotion,registro-step1-emotion,registro,s1,dark,960x600,window,qa/_mockup_targets/suite-registro-step1-emotion-dark-960x600.png
suite,registro-step1-emotion-otro,registro-step1-emotion-otro,registro,s1otro,dark,960x600,window,qa/_mockup_targets/suite-registro-step1-emotion-otro-dark-960x600.png
suite,registro-step2-distortions,registro-step2-distortions,registro,s2,dark,960x600,window,qa/_mockup_targets/suite-registro-step2-distortions-dark-960x600.png
suite,registro-step3-filled,registro-step3-filled,registro,s3,dark,960x600,window,qa/_mockup_targets/suite-registro-step3-filled-dark-960x600.png
suite,registro-success,registro-success,registro,ok,dark,960x600,window,qa/_mockup_targets/suite-registro-success-dark-960x600.png
suite,rutina,rutina,rutina,default,dark,960x600,window,qa/_mockup_targets/suite-rutina-dark-960x600.png
suite,rutina-add-task,rutina-add-task,rutina,add,dark,960x600,window,qa/_mockup_targets/suite-rutina-add-task-dark-960x600.png
suite,rutina-all-completed,rutina-all-completed,rutina,done,dark,960x600,window,qa/_mockup_targets/suite-rutina-all-completed-dark-960x600.png
suite,rutina-empty,rutina-empty,rutina,empty,dark,960x600,window,qa/_mockup_targets/suite-rutina-empty-dark-960x600.png
suite,actividades,actividades,actividades,default,dark,960x600,window,qa/_mockup_targets/suite-actividades-dark-960x600.png
suite,actividades-filtered,actividades-filtered,actividades,filtered,dark,960x600,window,qa/_mockup_targets/suite-actividades-filtered-dark-960x600.png
suite,actividades-marked-hice,actividades-marked-hice,actividades,marked,dark,960x600,window,qa/_mockup_targets/suite-actividades-marked-hice-dark-960x600.png
suite,actividades-empty,actividades-empty,actividades,empty,dark,960x600,window,qa/_mockup_targets/suite-actividades-empty-dark-960x600.png
suite,avisos,avisos,avisos,all,dark,960x600,window,qa/_mockup_targets/suite-avisos-dark-960x600.png
suite,avisos-filter-activos,avisos-filter-activos,avisos,active,dark,960x600,window,qa/_mockup_targets/suite-avisos-filter-activos-dark-960x600.png
suite,avisos-search,avisos-search,avisos,search,dark,960x600,window,qa/_mockup_targets/suite-avisos-search-dark-960x600.png
suite,avisos-empty,avisos-empty,avisos,empty,dark,960x600,window,qa/_mockup_targets/suite-avisos-empty-dark-960x600.png
suite,avisos-completed,avisos-completed,avisos,all,dark,960x600,window,qa/_mockup_targets/suite-avisos-completed-dark-960x600.png
suite,timer,timer,timer,idle,dark,960x600,window,qa/_mockup_targets/suite-timer-dark-960x600.png
suite,timer-running,timer-running,timer,running,dark,960x600,window,qa/_mockup_targets/suite-timer-running-dark-960x600.png
suite,timer-paused,timer-paused,timer,paused,dark,960x600,window,qa/_mockup_targets/suite-timer-paused-dark-960x600.png
suite,timer-empty,timer-empty,timer,empty,dark,960x600,window,qa/_mockup_targets/suite-timer-empty-dark-960x600.png
suite,timer-preset-5min,timer-preset-5min,timer,idle,dark,960x600,window,qa/_mockup_targets/suite-timer-preset-5min-dark-960x600.png
suite,timer-preset-45min,timer-preset-45min,timer,idle,dark,960x600,window,qa/_mockup_targets/suite-timer-preset-45min-dark-960x600.png
suite,dbt-now,dbt-now,dbtnow,,dark,960x600,window,qa/_mockup_targets/suite-dbt-now-dark-960x600.png
suite,dbt-library,dbt-library,dbtlib,,dark,960x600,window,qa/_mockup_targets/suite-dbt-library-dark-960x600.png
suite,dbt-practice-stop,dbt-practice-stop,dbtlib,,dark,960x600,viewport,qa/_mockup_targets/suite-dbt-practice-stop-dark-960x600.png
suite,dbt-practice-closure,dbt-practice-closure,dbtlib,,dark,960x600,viewport,qa/_mockup_targets/suite-dbt-practice-closure-dark-960x600.png
hub,pacientes,pacientes,pacientes,list,dark,960x600,window,qa/_mockup_targets/hub-pacientes-dark-960x600.png
hub,pacientes-empty,pacientes-empty,pacientes,empty,dark,960x600,window,qa/_mockup_targets/hub-pacientes-empty-dark-960x600.png
hub,detalle,detalle,detalle,,dark,960x600,window,qa/_mockup_targets/hub-detalle-dark-960x600.png
hub,detalle-plan-timer,detalle-plan-timer,detalle,,dark,960x600,window,qa/_mockup_targets/hub-detalle-plan-timer-dark-960x600.png
hub,detalle-plan-rutina,detalle-plan-rutina,detalle,,dark,960x600,window,qa/_mockup_targets/hub-detalle-plan-rutina-dark-960x600.png
hub,detalle-plan-activacion,detalle-plan-activacion,detalle,,dark,960x600,window,qa/_mockup_targets/hub-detalle-plan-activacion-dark-960x600.png
hub,detalle-resumen-ia,detalle-resumen-ia-0,detalle,,dark,480x325,modal,qa/_mockup_targets/hub-detalle-resumen-ia-0-dark-480x325.png
hub,textos-globales,textos-globales,textos,,dark,960x600,window,qa/_mockup_targets/hub-textos-globales-dark-960x600.png
